audio_file|text|speaker_name
wavs/voiceline_2.wav|The Voice? Here?|femaledarkelf
wavs/voiceline_3.wav|That sound could bring mountains down!|femaledarkelf
wavs/voiceline_4.wav|What was that?|femaledarkelf
wavs/voiceline_6.wav|Do your worst!|femaledarkelf
wavs/voiceline_11.wav|Filthy fetcher!|femaledarkelf
wavs/voiceline_16.wav|That the best you can do?|femaledarkelf
wavs/voiceline_18.wav|Hands off.|femaledarkelf
wavs/voiceline_19.wav|Watch what you're doing.|femaledarkelf
wavs/voiceline_20.wav|Don't even think about it.|femaledarkelf
wavs/voiceline_29.wav|Mercy!|femaledarkelf
wavs/voiceline_30.wav|No more! I yield! I yield!|femaledarkelf
wavs/voiceline_31.wav|Enough!|femaledarkelf
wavs/voiceline_32.wav|Damn you!|femaledarkelf
wavs/voiceline_33.wav|Ha! Like the bite of a flea!|femaledarkelf
wavs/voiceline_34.wav|Just a... scratch!|femaledarkelf
wavs/voiceline_35.wav|Gods, no!|femaledarkelf
wavs/voiceline_36.wav|Walk always in shadows, so that you will see your foes before they see you.|femaledarkelf
wavs/voiceline_37.wav|You seem to be a little short on coin. Come back and see me when you've got the gold.|femaledarkelf
wavs/voiceline_38.wav|You have chosen wisely. Lead on, and I shall follow.|femaledarkelf
wavs/voiceline_39.wav|Stay back, lord!|femaledarkelf
wavs/voiceline_40.wav|Halt in the name of the Jarl Balgruuf the Greater!|femaledarkelf
wavs/voiceline_41.wav|May your will carve itself upon the world.|femaledarkelf
wavs/voiceline_42.wav|That can be arranged.|femaledarkelf
wavs/voiceline_43.wav|I don't think so!|femaledarkelf
wavs/voiceline_44.wav|They're fighting over that thing, I think.|femaledarkelf
wavs/voiceline_45.wav|What's all the commotion?|femaledarkelf
wavs/voiceline_46.wav|Hey! That's my sword.|femaledarkelf
wavs/voiceline_47.wav|Don't touch that dagger! It's mine.|femaledarkelf
wavs/voiceline_48.wav|I don't think so. That axe is mine.|femaledarkelf
wavs/voiceline_49.wav|Keep away from that bow. It's mine.|femaledarkelf
wavs/voiceline_50.wav|Hands off. That's my armor now!|femaledarkelf
wavs/voiceline_51.wav|You're too slow. I saw it first.|femaledarkelf
wavs/voiceline_52.wav|Someone's going to get hurt.|femaledarkelf
wavs/voiceline_53.wav|Good enough.|femaledarkelf
wavs/voiceline_54.wav|Just getting jumpy I guess.|femaledarkelf
wavs/voiceline_55.wav|Must have been nothing.|femaledarkelf
wavs/voiceline_56.wav|Come on!|femaledarkelf
wavs/voiceline_57.wav|I knew I'd find you!|femaledarkelf
wavs/voiceline_58.wav|Cleared out, I guess.|femaledarkelf
wavs/voiceline_59.wav|Anybody there?|femaledarkelf
wavs/voiceline_60.wav|What do you need, guardian?|femaledarkelf
wavs/voiceline_61.wav|Yes, champion of Azura?|femaledarkelf
wavs/voiceline_62.wav|The Twilight watches us all, guardian.|femaledarkelf
wavs/voiceline_63.wav|Oh, I don't believe those rumors, my friend.  Besides, who would ever want to harm such beauty?|femaledarkelf
wavs/voiceline_64.wav|Halt in the name of the Jarl Hrongar.|femaledarkelf
wavs/voiceline_67.wav|There are so many delightful ways I've pictured you dead.|femaledarkelf
wavs/voiceline_68.wav|We're one of the same kind, you and I. I'm glad to have met you.|femaledarkelf
wavs/voiceline_69.wav|I'm not going to warn you again.|femaledarkelf
wavs/voiceline_70.wav|Once more and I'm going to have to kill you.|femaledarkelf
wavs/voiceline_71.wav|Don't do that again. Last warning.|femaledarkelf
wavs/voiceline_72.wav|You're pushing your luck.|femaledarkelf
wavs/voiceline_73.wav|What's the matter with you?|femaledarkelf
wavs/voiceline_74.wav|Stop that.|femaledarkelf
wavs/voiceline_75.wav|Watch it!|femaledarkelf
wavs/voiceline_76.wav|Hey, be careful!|femaledarkelf
wavs/voiceline_77.wav|What are you doing?|femaledarkelf
wavs/voiceline_78.wav|You dirty thief!|femaledarkelf
wavs/voiceline_79.wav|Perhaps that is what you are meant to believe. To better serve your role as Azura's champion.|femaledarkelf
